날짜,두바이 디저트,아인슈페너,타르트,휘낭시에,티라미수
2023-11-01,0.0107,1.09456,1.16641,1.5226,0.40281
2023-11-02,0.01452,1.31776,1.14501,1.63802,0.38294
2023-11-03,0.01299,1.18781,1.10603,1.62732,0.37071
2023-11-04,0.01222,1.45075,0.98908,1.47674,0.33861
2023-11-05,0.01146,1.39419,1.05558,1.53866,0.40969
2023-11-06,0.01987,0.97685,1.05405,1.67624,0.35313
2023-11-07,0.0191,1.07163,1.0594,1.80313,0.36001
2023-11-08,0.01375,1.10603,1.18705,1.83982,0.33249
2023-11-09,0.01758,1.43088,1.12437,2.01485,0.32791
2023-11-10,0.00993,1.09685,1.06628,2.39856,0.29657
2023-11-11,0.01146,1.16871,1.0036,2.1876,0.35925
2023-11-12,0.0084,1.2031,1.04411,1.73816,0.3516
2023-11-13,0.01834,0.93022,1.01965,2.09053,0.386
2023-11-14,0.01528,0.96921,1.13431,1.7351,0.34014
2023-11-15,0.01375,1.04106,1.0915,1.54019,0.3409
2023-11-16,0.0191,1.23826,1.03341,1.40184,0.41504
2023-11-17,0.01375,1.03418,1.10144,1.50732,0.39288
2023-11-18,0.02063,1.13049,1.0166,1.43012,0.40434
2023-11-19,0.00764,1.16106,1.00131,1.27954,0.44868
2023-11-20,0.01758,0.99367,1.07622,1.62656,0.39517
2023-11-21,0.02445,1.01354,1.14577,1.43776,0.3753
2023-11-22,0.01987,1.01736,1.1259,1.50961,0.37453
2023-11-23,0.02904,1.31241,1.16641,1.44464,0.37148
2023-11-24,0.01605,1.03723,1.12284,1.40413,0.37835
2023-11-25,0.01299,1.20769,1.26578,1.36209,0.40205
2023-11-26,0.01758,1.21762,1.51802,1.32769,0.45097
2023-11-27,0.01987,0.8813,1.16106,1.31164,0.38523
2023-11-28,0.02751,1.0059,1.25661,1.38578,0.43568
2023-11-29,0.01375,0.95315,1.13354,1.35521,0.37759
2023-11-30,0.01299,1.16259,1.14348,1.3789,0.38065
2023-12-01,0.00917,0.98144,1.23979,1.32846,0.35619
2023-12-02,0.00917,1.24973,1.35903,1.22527,0.38906
2023-12-03,0.00764,1.30323,1.37508,1.22833,0.43645
2023-12-04,0.02293,0.93634,1.32846,1.21533,0.37988
2023-12-05,0.01452,1.02883,1.81001,1.27954,0.39823
2023-12-06,0.01146,1.0059,1.27342,1.3361,0.37606
2023-12-07,0.0191,1.31164,1.43241,1.40336,0.42116
2023-12-08,0.00917,1.06781,1.21686,1.33075,0.42804
2023-12-09,0.01146,1.27266,1.3598,1.2245,0.39593
2023-12-10,0.01528,1.32081,1.39878,1.27724,0.38141
2023-12-11,0.0191,0.90882,1.23291,1.42094,0.43262
2023-12-12,0.0214,1.03036,1.49967,1.37432,0.44027
2023-12-13,0.01222,1.07316,1.41865,1.36591,0.41581
2023-12-14,0.01146,1.44235,1.36209,1.40948,0.4074
2023-12-15,0.02063,1.08845,1.28642,1.39649,0.41275
2023-12-16,0.0107,1.20463,1.43852,1.27419,0.40358
2023-12-17,0.01375,1.46146,1.45458,1.26272,0.43874
2023-12-18,0.02369,0.8622,1.35521,1.3361,0.38906
2023-12-19,0.0214,0.98984,1.31011,1.51496,0.42269
2023-12-20,0.01605,0.95468,1.25814,1.41559,0.43645
2023-12-21,0.01605,1.2138,1.37203,1.46834,0.49836
2023-12-22,0.00764,0.94857,1.32769,1.3682,0.47543
2023-12-23,0.01452,1.04411,1.56388,1.33534,0.54269
2023-12-24,0.01222,1.3147,1.70147,1.52184,0.68869
2023-12-25,0.00917,1.3361,1.5249,1.27801,0.59161
2023-12-26,0.01452,1.04182,1.21686,1.2375,0.42116
2023-12-27,0.01605,0.99596,1.24896,1.28336,0.41046
2023-12-28,0.01605,1.32158,1.11826,1.37814,0.42192
2023-12-29,0.01452,1.11979,1.12972,1.2933,0.39593
2023-12-30,0.00917,1.17635,1.11596,1.20539,0.45555
2023-12-31,0.00687,1.30018,1.33304,1.08615,0.506
2024-01-01,0.00917,1.2803,1.06169,1.16488,0.40511
2024-01-02,0.01834,0.80487,1.1259,1.25584,0.33249
2024-01-03,0.01758,0.92411,1.12667,1.37967,0.36536
2024-01-04,0.02216,1.23138,1.19622,1.35521,0.36918
2024-01-05,0.0107,1.06552,1.15112,1.35521,0.37453
2024-01-06,0.01375,1.31393,1.61586,1.2933,0.40434
2024-01-07,0.00764,1.31317,1.36285,1.26807,0.37759
2024-01-08,0.01528,0.89659,1.06322,1.25355,0.36383
2024-01-09,0.01528,1.03341,1.16947,1.32846,0.36077
2024-01-10,0.01452,1.07927,1.13125,1.38043,0.36995
2024-01-11,0.01222,1.29865,1.14501,1.39725,0.32714
2024-01-12,0.0214,1.12667,1.14425,1.31546,0.34472
2024-01-13,0.01299,1.42553,1.24438,1.21839,0.44333
2024-01-14,0.01452,1.47063,1.20922,1.26654,0.45555
2024-01-15,0.00917,0.96691,1.16412,1.23138,0.34854
2024-01-16,0.01528,0.97761,1.171,1.30705,0.34014
2024-01-17,0.00993,1.06628,1.21839,1.32387,0.37759
2024-01-18,0.01299,1.37432,1.20845,1.42859,0.38141
2024-01-19,0.01987,1.13125,1.2375,1.47063,0.34625
2024-01-20,0.00917,1.27495,1.14272,1.32999,0.39976
2024-01-21,0.01375,1.41559,1.27266,1.33304,0.40358
2024-01-22,0.0107,0.97226,1.14501,1.42018,0.34243
2024-01-23,0.02675,0.96615,1.10908,1.38349,0.42651
2024-01-24,0.00917,1.08921,1.11214,1.45075,0.36077
2024-01-25,0.01987,1.21915,1.16794,1.46757,0.34319
2024-01-26,0.0214,1.05787,1.14195,1.4584,0.38523
